app_id,genre
285900,Casual
285900,Indie
285900,Simulation
286160,Casual
286160,Indie
286160,RPG
286160,Simulation
286160,Strategy
286570,Racing
286570,Sports
286690,Action
286940,Action
286940,Adventure
286940,Free To Play
286940,Sports
286940,Strategy
287290,Action
287290,Adventure
287390,Action
287450,Simulation
287450,Strategy
287700,Action
287700,Adventure
2881650,Action
2881650,Adventure
2881650,Indie
289070,Strategy
289130,RPG
289130,Strategy
289650,Action
289650,Adventure
291480,Action
291480,Massively Multiplayer
291480,Free To Play
291550,Action
291550,Indie
291550,Free To Play
291650,RPG
292030,RPG
292730,Action
292730,Adventure
292910,Adventure
294100,Indie
294100,Simulation
294100,Strategy
297000,RPG
297000,Strategy
298110,Action
298110,Adventure
299360,Action
299360,Massively Multiplayer
299360,Strategy
299360,Free To Play
299460,Action
299460,Adventure
299460,Indie
30,Action
300,Action
301520,Action
301520,Indie
301520,Massively Multiplayer
301520,RPG
301520,Simulation
301520,Free To Play
302510,Action
302830,Action
302830,Free To Play
302830,Early Access
303390,Action
303390,Casual
303390,Indie
304050,Action
304050,Adventure
304050,Casual
304050,Massively Multiplayer
304050,RPG
304050,Free To Play
304240,Action
304240,Adventure
304390,Action
304430,Action
304430,Adventure
304430,Indie
304670,Casual
304670,Indie
304670,Strategy
304930,Action
304930,Adventure
304930,Casual
304930,Indie
304930,Free To Play
305620,Adventure
305620,Indie
305620,Simulation
305620,Strategy
306130,Action
306130,Adventure
306130,Massively Multiplayer
306130,RPG
3070070,Simulation
3070070,Early Access
307690,Action
307690,Adventure
307690,Racing
307780,Action
308040,Action
308040,Casual
308040,Indie
3097560,Casual
3097560,Indie
3097560,Simulation
3097560,Strategy
3097560,Early Access
310560,Racing
310560,Simulation
310560,Sports
310950,Action
311210,Action
311210,Adventure
311340,Action
311340,Adventure
311690,Action
311690,Adventure
311690,Indie
311860,Adventure
311860,Indie
311860,RPG
311860,Simulation
312520,Action
312520,Adventure
312520,Indie
312530,Action
312530,Indie
312660,Action
312660,Adventure
312990,Action
312990,Adventure
312990,Indie
312990,Free To Play
3132990,Free To Play
3132990,Utilities
314160,Simulation
3146520,Casual
3146520,Indie
3146520,Massively Multiplayer
316010,Free To Play
316010,Strategy
3164500,Action
3164500,Indie
3164500,Simulation
3164500,Strategy
3164500,Early Access
319510,Indie
319510,Simulation
319630,Action
319630,Adventure
319830,Action
319830,Indie
319830,Simulation
320,Action
322170,Action
322170,Indie
322330,Action
322330,Adventure
322330,Indie
322330,RPG
322330,Simulation
322330,Strategy
322500,Action
322500,Indie
323190,Simulation
323190,Strategy
323470,Action
323580,Action
323580,Adventure
323580,Indie
32370,Adventure
32370,RPG
323850,Action
323850,Indie
3240220,Action
3240220,Adventure
3240220,Racing
3241660,Action
3241660,Early Access
32430,Action
32470,Strategy
324800,Action
324800,Adventure
325610,Strategy
327690,Action
327690,Free To Play
327690,Strategy
32800,Action
32800,RPG
332070,Adventure
332070,Free To Play
332070,Massively Multiplayer
332070,RPG
33230,Action
33230,Adventure
333930,Action
333930,Free To Play
334210,Action
334210,Indie
334210,Strategy
334230,Action
334230,Casual
334230,RPG
334230,Strategy
335240,Free To Play
335240,Indie
335240,Massively Multiplayer
335300,Action
335300,RPG
337000,Action
337000,RPG
337320,Action
337320,Indie
33900,Action
33900,Simulation
33900,Strategy
33930,Action
33930,Simulation
33930,Strategy
340,Action
34030,Strategy
341800,Indie
342200,Action
342200,Massively Multiplayer
342200,Simulation
342200,Strategy
342200,Free To Play
34270,Action
34270,Adventure
34270,Casual
34270,RPG
34330,Strategy
343710,Adventure
343710,Indie
34440,Strategy
34460,Strategy
346010,Indie
346010,Simulation
346110,Action
346110,Adventure
346110,Indie
346110,Massively Multiplayer
346110,RPG
346330,Action
346330,Adventure
346330,Indie
346330,Free To Play
346900,Casual
346900,Indie
346900,Free To Play
34870,Action
349040,Action
349040,Adventure
349700,Violent
349700,Action
349700,Free To Play
349700,Indie
349700,Massively Multiplayer
350640,Action
350640,Adventure
35140,Action
35140,Adventure
351940,Adventure
351940,Casual
351940,Indie
35450,Action
35450,Massively Multiplayer
35450,Simulation
355180,Action
355180,Free To Play
355840,Action
355840,Free To Play
355840,Massively Multiplayer
355840,RPG
355840,Early Access
356190,Action
356190,Adventure
356190,RPG
35700,Action
35700,Adventure
35700,Indie
35720,Action
35720,Adventure
35720,Indie
3590,Strategy
359320,Action
359320,Adventure
359320,Massively Multiplayer
359320,RPG
359320,Simulation
359320,Strategy
359550,Action
359550,Free To Play
360,Action
360430,Action
360430,Adventure
360970,Action
360970,Adventure
361420,Adventure
361420,Indie
362890,Action
362890,Adventure
362890,Indie
363970,Adventure
363970,Casual
363970,Indie
363970,RPG
363970,Simulation
363970,Strategy
363970,Free To Play
364360,Action
364360,Strategy
364470,Free To Play
365450,Indie
365450,Simulation
365590,Action
365590,Adventure
365590,RPG
365670,Animation & Modeling
365670,Design & Illustration
365670,Video Production
367500,Action
367500,Adventure
367500,RPG
367520,Action
367520,Adventure
367520,Indie
368230,Indie
368230,Simulation
368230,Strategy
368260,RPG
368260,Strategy
368500,Action
368500,Adventure
370910,Adventure
370910,Indie
372000,Massively Multiplayer
