app_id,tag
1129580,Atmospheric
1129580,Realistic
1129580,First-Person
1129580,Adventure
1129580,Historical
1129580,Management
1129580,Agriculture
113020,Co-op
113020,Stealth
113020,Indie
113020,Heist
113020,Local Co-Op
113020,Strategy
113020,Online Co-Op
113020,Top-Down
113020,Action
113020,Multiplayer
113020,Crime
113020,Casual
113020,Great Soundtrack
113020,Adventure
113020,Pixel Graphics
113020,Local Multiplayer
113020,Controller
113020,2D
113020,Singleplayer
113020,Loot
113200,Action Roguelike
113200,Rogue-like
113200,Indie
113200,Replay Value
113200,Difficult
113200,Procedural Generation
113200,Dark
113200,Action
113200,Top-Down
113200,Great Soundtrack
113200,Addictive
113200,Singleplayer
113200,Adventure
113200,Rogue-lite
113200,2D
113200,Dungeon Crawler
113200,Survival
113200,RPG
113200,Perma Death
113200,Bullet Hell
113400,Free to Play
113400,Open World
113400,Multiplayer
113400,Action
113400,Character Customization
113400,Massively Multiplayer
113400,Shooter
113400,Third-Person Shooter
113400,PvP
113400,Crime
113400,Third Person
113400,Co-op
113400,Racing
113400,Sandbox
113400,FPS
113400,Adventure
113400,Nudity
113400,Singleplayer
113400,Hacking
113400,Anime
113420,Free to Play
113420,Survival
113420,Open World
113420,Multiplayer
113420,Post-apocalyptic
113420,Zombies
113420,Massively Multiplayer
113420,Crafting
113420,RPG
113420,Shooter
113420,FPS
113420,Adventure
113420,Sandbox
113420,Co-op
113420,First-Person
113420,Action
113420,Singleplayer
113420,MMORPG
113420,Third-Person Shooter
113420,Action RPG
1139900,Action
1139900,Cyberpunk
1139900,Fast-Paced
1139900,First-Person
1139900,Difficult
1139900,Swordplay
1139900,Singleplayer
1139900,Hack and Slash
1139900,Futuristic
1139900,Violent
1139900,Sci-fi
1139900,Great Soundtrack
1139900,Action-Adventure
1139900,Combat
1139900,Adventure
1139900,Ninja
1139900,Post-apocalyptic
1139900,Fighting
1139900,Strategy
1139900,Shooter
1142710,Strategy
1142710,Turn-Based Strategy
1142710,Grand Strategy
1142710,RTS
1142710,Fantasy
1142710,Real Time Tactics
1142710,War
1142710,Dark Fantasy
1142710,Action
1142710,Dwarf
1142710,Tactical
1142710,Games Workshop
1142710,Atmospheric
1142710,Multiplayer
1142710,Colorful
1142710,Co-op
1142710,PvP
1142710,Singleplayer
1142710,Warhammer 40K
1142710,Online Co-Op
1144200,Tactical
1144200,Realistic
1144200,FPS
1144200,Shooter
1144200,Multiplayer
1144200,Co-op
1144200,Singleplayer
1144200,Horror
1144200,First-Person
1144200,Action
1144200,Violent
1144200,Combat
1144200,Gun Customization
1144200,Crime
1144200,Gore
1144200,Modern
1144200,Psychological Horror
1144200,Atmospheric
1144200,America
1144200,Co-op Campaign
1145350,Action
1145350,Rogue-like
1145350,Rogue-lite
1145350,Hack and Slash
1145350,RPG
1145350,Action Roguelike
1145350,Mythology
1145350,Dungeon Crawler
1145350,Action RPG
1145350,Isometric
1145350,Hand-drawn
1145350,Female Protagonist
1145350,Story Rich
1145350,Singleplayer
1145350,Atmospheric
1145350,Indie
1145350,Souls-like
1145350,Early Access
1145350,LGBTQ+
1145350,Perma Death
1145360,Action Roguelike
1145360,Rogue-lite
1145360,Hack and Slash
1145360,Indie
1145360,Mythology
1145360,Action
1145360,Rogue-like
1145360,Singleplayer
1145360,Great Soundtrack
1145360,Story Rich
1145360,RPG
1145360,Dungeon Crawler
1145360,Replay Value
1145360,Isometric
1145360,Difficult
1145360,Action RPG
1145360,Hand-drawn
1145360,Atmospheric
1145360,Perma Death
1145360,LGBTQ+
1147550,Adventure
1147550,1980s
1147550,Choices Matter
1147550,Dystopian 
1147550,Simulation
1147550,Dark Comedy
1147550,FMV
1147550,Story Rich
1147550,Multiple Endings
1147550,Management
1147550,Interactive Fiction
1147550,Political Sim
1147550,Choose Your Own Adventure
1147550,Political
1147550,Atmospheric
1147550,Point & Click
1147550,Alternate History
